id_text,palabra,palNum,palNumGobal,gramm_tag,pred,logit_pred,nCompletadas
1,Sólo,0,487,ADV,,,
1,recuerdo,1,488,VERB,0.0,-2.2380461031287955,87.0
1,esto,2,489,PRON,0.0,-2.232996110392154,86.0
1,como,3,490,SCONJ,0.06976744186046512,-1.1249387366083,86.0
1,prueba,4,491,NOUN,0.0,-2.232996110392154,86.0
1,de,5,492,ADP,0.9186046511627907,1.0525290512761845,86.0
1,que,6,493,SCONJ,0.4186046511627907,-0.14266750356873148,86.0
1,él,7,494,PRON,0.023255813953488372,-1.6232492903979003,86.0
1,anotaba,8,495,VERB,0.0,-2.232996110392154,86.0
1,mis,9,496,DET,0.011627906976744186,-1.9294189257142929,86.0
1,comedias,10,497,NOUN,0.0,-2.232996110392154,86.0
1,en,11,498,ADP,0.5116279069767442,0.02020338608828699,86.0
1,la,12,499,DET,0.05813953488372093,-1.209515014542631,86.0
1,cantina,13,500,NOUN,0.011627906976744186,-1.9294189257142929,86.0
1,Tenía,0,501,VERB,,,
1,un,1,502,DET,0.16883116883116883,-0.6922366216770504,77.0
1,impermeable,2,503,ADJ,0.0,-2.173186268412274,75.0
1,cerrado,3,504,ADJ,0.0,-2.173186268412274,75.0
1,hasta,4,505,ADP,0.12,-0.8653014261025438,75.0
1,el,5,506,DET,0.4533333333333333,-0.0813049396774804,75.0
1,cuello,6,507,NOUN,0.7733333333333333,0.5329790721846633,75.0
1,las,7,508,DET,0.0,-2.173186268412274,75.0
1,manos,8,509,NOUN,0.25333333333333335,-0.4694344260533714,75.0
1,en,9,510,ADP,0.26666666666666666,-0.43933269383026274,75.0
1,los,10,511,DET,0.9066666666666666,0.9874108726919792,75.0
1,bolsillos,11,512,NOUN,0.9333333333333333,1.1461280356782382,75.0
1,Mi,0,986,DET,,,
1,amor,1,987,NOUN,0.022222222222222223,-1.6434526764861874,90.0
1,por,2,988,ADP,0.19101123595505617,-0.6268835750529945,89.0
1,aquella,3,989,DET,0.0,-2.2479732663618064,89.0
1,necesidad,4,990,NOUN,0.0,-2.2479732663618064,89.0
1,había,5,991,AUX,0.011235955056179775,-1.9444826721501687,89.0
1,suprimido,6,992,VERB,0.0,-2.2479732663618064,89.0
1,el,7,993,DET,0.056179775280898875,-1.2253092817258628,89.0
1,pasado,8,994,NOUN,0.011235955056179775,-1.9444826721501687,89.0
1,y,9,995,CCONJ,0.11235955056179775,-0.8976270912904414,89.0
1,toda,10,996,DET,0.011235955056179775,-1.9444826721501687,89.0
1,atadura,11,997,NOUN,0.011235955056179775,-1.9444826721501687,89.0
1,con,12,998,ADP,0.07865168539325842,-1.0687158123694598,89.0
1,el,13,999,DET,0.4157303370786517,-0.14780161956780413,89.0
1,presente,14,1000,NOUN,0.1797752808988764,-0.6592028774645311,89.0
1,Enderezó,0,1259,VERB,,,
1,la,1,1260,DET,0.39603960396039606,-0.18326984368280458,101.0
1,cabeza,2,1261,NOUN,0.15841584158415842,-0.725298943058368,101.0
1,y,3,1262,CCONJ,0.693069306930693,0.353736346179984,101.0
1,continuó,4,1263,VERB,0.019801980198019802,-1.6946051989335686,101.0
1,mirándome,5,1264,VERB,0.009900990099009901,-2.0,101.0
1,en,6,1265,ADP,0.0,-2.303196057420489,101.0
1,silencio,7,1266,NOUN,0.1188118811881188,-0.8702087605972879,101.0
1,Usted,0,1353,PRON,,,
1,no,1,1354,ADV,0.041666666666666664,-1.3617278360175928,96.0
1,se,2,1355,PRON,0.0,-2.271841606536499,94.0
1,va,3,1356,AUX,0.02127659574468085,-1.662757831681574,94.0
1,a,4,1357,ADP,0.925531914893617,1.0944212126043613,94.0
1,casar,5,1358,VERB,0.010638297872340425,-1.9684829485539352,94.0
1,con,6,1359,ADP,0.7127659574468085,0.39471103854183903,94.0
1,ella,7,1360,PRON,0.23404255319148937,-0.5149098156090621,94.0
1,porque,8,1361,SCONJ,0.5106382978723404,0.01848340569401304,94.0
1,usted,9,1362,PRON,0.010638297872340425,-1.9684829485539352,94.0
1,es,10,1363,AUX,0.2765957446808511,-0.4175355647354183,94.0
1,viejo,11,1364,ADJ,0.0,-2.271841606536499,94.0
1,y,12,1365,CCONJ,0.7872340425531915,0.568201724066995,94.0
1,ella,13,1366,PRON,0.23404255319148937,-0.5149098156090621,94.0
1,es,14,1367,AUX,0.776595744680851,0.5411035653865365,94.0
1,joven,15,1368,ADJ,0.8723404255319149,0.834632606336092,94.0
1,No,0,1369,ADV,,,
1,sé,1,1370,VERB,0.14130434782608695,-0.7836837389836047,92.0
1,si,2,1371,SCONJ,0.20652173913043478,-0.584569259167627,92.0
1,usted,3,1372,PRON,0.0,-2.2624510897304293,92.0
1,tiene,4,1373,VERB,0.03260869565217391,-1.4722687519252504,92.0
1,treinta,5,1374,NUM,0.0,-2.2624510897304293,92.0
1,o,6,1375,CCONJ,0.10869565217391304,-0.9138138523837167,92.0
1,cuarenta,7,1376,NUM,0.5652173913043478,0.11394335230683669,92.0
1,años,8,1377,NOUN,0.6847826086956522,0.3369425515546257,92.0
1,no,9,1378,ADV,0.03260869565217391,-1.4722687519252504,92.0
1,importa,10,1379,VERB,0.010869565217391304,-1.9590413923210934,92.0
1,Claro,0,1422,ADV,,,
1,que,1,1423,SCONJ,0.6701030927835051,0.3077633783229495,97.0
1,usted,2,1424,PRON,0.0,-2.2810333672477277,96.0
1,tiene,3,1425,VERB,0.07291666666666667,-1.1042919666306559,96.0
1,motivos,4,1426,NOUN,0.0,-2.2810333672477277,96.0
1,para,5,1427,ADP,0.8958333333333334,0.9344984512435679,96.0
1,creer,6,1428,VERB,0.07291666666666667,-1.1042919666306559,96.0
1,en,7,1429,ADP,0.20833333333333334,-0.5797835966168101,96.0
1,lo,8,1430,PRON,0.09375,-0.9852767431792937,96.0
1,extraordinario,9,1431,ADJ,0.0,-2.2810333672477277,96.0
1,suyo,10,1432,DET,0.0,-2.2810333672477277,96.0
1,Está,0,1542,AUX,,,
1,atado,1,1543,ADJ,0.0,-2.2900346113625183,98.0
1,a,2,1544,ADP,0.6979166666666666,0.36367680480187026,96.0
1,cosas,3,1545,NOUN,0.0,-2.2810333672477277,96.0
1,miserables,4,1546,ADJ,0.0,-2.2810333672477277,96.0
1,y,5,1547,CCONJ,0.23958333333333334,-0.5015950241028629,96.0
1,son,6,1548,AUX,0.0,-2.2810333672477277,96.0
1,las,7,1549,DET,0.020833333333333332,-1.6720978579357175,96.0
1,cosas,8,1550,NOUN,0.15625,-0.7323937598229685,96.0
1,las,9,1551,DET,0.052083333333333336,-1.2600713879850747,96.0
1,que,10,1552,PRON,0.9166666666666666,1.041392685158225,96.0
1,lo,11,1553,PRON,0.46875,-0.0543576623225927,96.0
1,arrastran,12,1554,VERB,0.0,-2.2810333672477277,96.0
1,La,0,1618,DET,,,
1,música,1,1619,NOUN,0.011494252873563218,-1.9344984512435677,87.0
1,era,2,1620,AUX,0.05747126436781609,-1.214843848047698,87.0
1,poco,3,1621,ADV,0.0,-2.2380461031287955,87.0
1,fuerte;,4,1622,ADJ,0.034482758620689655,-1.4471580313422192,87.0
1,alguien,5,1623,PRON,0.011494252873563218,-1.9344984512435677,87.0
1,cantaba,6,1624,VERB,0.022988505747126436,-1.6283889300503116,87.0
1,dulcemente,7,1625,ADV,0.0,-2.2380461031287955,87.0
1,en,8,1626,ADP,0.14942528735632185,-0.7552883674241394,87.0
1,el,9,1627,DET,0.28735632183908044,-0.3944516808262163,87.0
1,interior,10,1628,NOUN,0.011494252873563218,-1.9344984512435677,87.0
1,de,11,1629,ADP,0.8045977011494253,0.6146491186359829,87.0
1,grandes,12,1630,ADJ,0.0,-2.2380461031287955,87.0
1,pausas,13,1631,NOUN,0.0,-2.2380461031287955,87.0
1,No,0,1711,ADV,,,
1,había,1,1712,AUX,0.011111111111111112,-1.9493900066449128,90.0
1,ya,2,1713,ADV,0.0,-2.2528530309798933,90.0
1,experiencias,3,1714,NOUN,0.0,-2.2528530309798933,90.0
1,nada,4,1715,NOUN,0.03333333333333333,-1.462397997898956,90.0
1,más,5,1716,ADV,0.1111111111111111,-0.9030899869919435,90.0
1,que,6,1717,SCONJ,0.5666666666666667,0.11650556907143717,90.0
1,costumbre,7,1718,NOUN,0.0,-2.2528530309798933,90.0
1,y,8,1719,CCONJ,0.5222222222222223,0.038629402356131,90.0
1,repeticiones,9,1720,NOUN,0.022222222222222223,-1.6434526764861874,90.0
1,Ausente,0,2285,ADV,,,
1,y,1,2286,CCONJ,0.056179775280898875,-1.2253092817258628,89.0
1,perdida,2,2287,ADJ,0.011363636363636364,-1.9395192526186185,88.0
1,para,3,2288,ADP,0.0,-2.2430380486862944,88.0
1,siempre,4,2289,ADV,0.056818181818181816,-1.2201080880400552,88.0
1,podía,5,2290,AUX,0.0,-2.2430380486862944,88.0
1,conservarse,6,2291,VERB,0.0,-2.2430380486862944,88.0
1,viviente,7,2292,ADV,0.0,-2.2430380486862944,88.0
1,e,8,2293,CCONJ,0.0,-2.2430380486862944,88.0
1,intacta,9,2294,ADJ,0.09090909090909091,-1.0,88.0
1,Todo,0,2514,DET,,,
1,el,1,2515,DET,0.058823529411764705,-1.2041199826559248,102.0
1,tiempo,2,2516,NOUN,0.16831683168316833,-0.6938303646836077,101.0
1,pensando,3,2517,VERB,0.0,-2.303196057420489,101.0
1,en,4,2518,ADP,0.7623762376237624,0.5062794834608759,101.0
1,Bob,5,2519,PROPN,0.0,-2.303196057420489,101.0
1,en,6,2520,ADP,0.009900990099009901,-2.0,101.0
1,su,7,2521,DET,0.297029702970297,-0.37413709399941286,101.0
1,pureza,8,2522,NOUN,0.0,-2.303196057420489,101.0
1,su,9,2523,DET,0.18811881188118812,-0.6350602514308877,101.0
