"","tId","misWords","originales","pred","CLOZE_nPred"
"1",0,1,"hubo",0,19
"2",0,2,"un",0.28,25
"3",0,3,"tiempo",0.111111111111111,27
"4",0,4,"en",0.363636363636364,22
"5",0,5,"que",0.666666666666667,18
"6",0,6,"yo",0.0588235294117647,17
"7",0,7,"pensaba",0.05,20
"8",0,8,"mucho",0.125,16
"9",0,9,"en",0.6,15
"10",0,10,"los",0.05,20
"11",0,11,"axolotl",0,22
"12",0,12,"iba",0,13
"13",0,13,"a",0.227272727272727,22
"14",0,14,"verlos",0.19047619047619,21
"15",0,15,"al",0,19
"16",0,16,"acuario",0.28,25
"17",0,17,"del",0,19
"18",0,18,"jardin",0,12
"19",0,19,"des",0,13
"20",0,20,"plantes",0.12,25
"21",0,21,"y",0,15
"22",0,22,"me",0.2,15
"23",0,23,"quedaba",0.375,24
"24",0,24,"horas",0.19047619047619,21
"25",0,25,"mirandolos",0.0416666666666667,24
"26",0,26,"observando",0.0952380952380952,21
"27",0,27,"su",0.0526315789473684,19
"28",0,28,"inmovilidad",0.0952380952380952,21
"29",0,29,"sus",0.0526315789473684,19
"30",0,30,"oscuros",0.0555555555555556,18
"31",0,31,"movimientos",0.0625,16
"32",0,32,"ahora",0.136363636363636,22
"33",0,33,"soy",0,17
"34",0,34,"un",0.235294117647059,17
"35",0,35,"axolotl",0.375,16
"36",0,36,"el",0.0666666666666667,15
"37",0,37,"azar",0,10
"38",0,38,"me",0.142857142857143,14
"39",0,39,"llevo",0.0714285714285714,14
"40",0,40,"hasta",0,15
"41",0,41,"ellos",0.0588235294117647,17
"42",0,42,"una",0,18
"43",0,43,"manana",0,24
"44",0,44,"de",0.5,20
"45",0,45,"primavera",0.0625,16
"46",0,46,"en",0.285714285714286,14
"47",0,47,"que",0.0666666666666667,15
"48",0,48,"paris",0,11
"49",0,49,"abria",0,20
"50",0,50,"su",0.0526315789473684,19
"51",0,51,"cola",0,15
"52",0,52,"de",0.111111111111111,18
"53",0,53,"pavo",0.2,15
"54",0,54,"real",0.666666666666667,12
"55",0,55,"despues",0,11
"56",0,56,"de",0.571428571428571,14
"57",0,57,"la",0.25,12
"58",0,58,"lenta",0.0625,16
"59",0,59,"invernada",0.0666666666666667,15
"60",0,60,"baje",0,16
"61",0,61,"por",0,16
"62",0,62,"el",0,14
"63",0,63,"bulevar",0,6
"64",0,64,"de",0.1,10
"65",0,65,"port",0,14
"66",0,66,"royal",0.0666666666666667,15
"67",0,67,"tome",0,17
"68",0,68,"st",0,16
"69",0,69,"marcel",0,14
"70",0,70,"y",0.266666666666667,15
"71",0,71,"l'hopital",0,15
"72",0,72,"vi",0.0833333333333333,24
"73",0,73,"los",0.0555555555555556,18
"74",0,74,"verdes",0,11
"75",0,75,"entre",0.105263157894737,19
"76",0,76,"tanto",0,15
"77",0,77,"gris",0.416666666666667,12
"78",0,78,"y",0.181818181818182,11
"79",0,79,"me",0.142857142857143,14
"80",0,80,"acorde",0,12
"81",0,81,"de",0.8125,16
"82",0,82,"los",0,15
"83",0,83,"leones",0,17
"84",0,84,"era",0.0454545454545455,22
"85",0,85,"amigo",0,16
"86",0,86,"de",0.875,16
"87",0,87,"los",0.1,20
"88",0,88,"leones",0.470588235294118,17
"89",0,89,"y",0.333333333333333,15
"90",0,90,"las",0.0714285714285714,14
"91",0,91,"panteras",0,6
"92",0,92,"pero",0.2,10
"93",0,93,"nunca",0,14
"94",0,94,"habia",0.0833333333333333,12
"95",0,95,"entrado",0.0666666666666667,15
"96",0,96,"en",0.176470588235294,17
"97",0,97,"el",0.1875,16
"98",0,98,"humedo",0,14
"99",0,99,"y",0.133333333333333,15
"100",0,100,"oscuro",0.0909090909090909,11
"101",0,101,"edificio",0.105263157894737,19
"102",0,102,"de",0.266666666666667,15
"103",0,103,"los",0,12
"104",0,104,"acuarios",0,14
"105",0,105,"deje",0,11
"106",0,106,"mi",0,14
"107",0,107,"bicicleta",0.0833333333333333,12
"108",0,108,"contra",0.125,16
"109",0,109,"las",0,15
"110",0,110,"rejas",0.8125,16
"111",0,111,"y",0.125,16
"112",0,112,"fui",0.142857142857143,14
"113",0,113,"a",0.166666666666667,6
"114",0,114,"ver",0.1875,16
"115",0,115,"los",0.2,10
"116",0,116,"tulipanes",0,14
"117",0,117,"los",0.111111111111111,18
"118",0,118,"leones",0.125,24
"119",0,119,"estaban",0.4,20
"120",0,120,"feos",0,19
"121",0,121,"y",0.466666666666667,15
"122",0,122,"tristes",0.117647058823529,17
"123",0,123,"y",0.0625,16
"124",0,124,"mi",0,14
"125",0,125,"pantera",0.0666666666666667,15
"126",0,126,"dormia",0,11
"127",0,127,"opte",0.0526315789473684,19
"128",0,128,"por",0.8,15
"129",0,129,"los",0,15
"130",0,130,"acuarios",0.166666666666667,18
"131",0,131,"soslaye",0,15
"132",0,132,"peces",0.0833333333333333,24
"133",0,133,"vulgares",0,12
"134",0,134,"hasta",0.0909090909090909,11
"135",0,135,"dar",0,14
"136",0,136,"inesperadamente",0,12
"137",0,137,"con",1,16
"138",0,138,"los",0.4,15
"139",0,139,"axolotl",0.388888888888889,18
"140",0,140,"me",0.125,16
"141",0,141,"quede",0.0625,16
"142",0,142,"una",0,17
"143",0,143,"hora",0.772727272727273,22
"144",0,144,"mirandolos",0.1,20
"145",0,145,"y",0,17
"146",0,146,"sali",0.0714285714285714,14
"147",0,147,"incapaz",0,6
"148",0,148,"de",0.9,10
"149",0,149,"otra",0,14
"150",0,150,"cosa",0.533333333333333,15
"151",0,151,"en",0,15
"152",0,152,"la",0.176470588235294,17
"153",0,153,"biblioteca",0,16
"154",0,154,"saintgenevieve",0,14
"155",0,155,"consulte",0.0666666666666667,15
"156",0,156,"un",0.0909090909090909,11
"157",0,157,"diccionario",0.315789473684211,19
"158",0,158,"y",0,12
"159",0,159,"supe",0.0714285714285714,14
"160",0,160,"que",0.5625,16
"161",0,161,"los",0.722222222222222,18
"162",0,162,"axolotl",0.75,24
"163",0,163,"son",0.4,20
"164",0,164,"formas",0,19
"165",0,165,"larvales",0,15
"166",0,166,"provistas",0,12
"167",0,167,"de",0.8,15
"168",0,168,"branquias",0.222222222222222,18
"169",0,169,"de",0.133333333333333,15
"170",0,170,"una",0,11
"171",0,171,"especie",0.214285714285714,14
"172",0,172,"de",0.583333333333333,12
"173",0,173,"batracios",0,16
"174",0,174,"del",0,15
"175",0,175,"genero",0.0625,16
"176",0,176,"amblistoma",0,16
"177",0,177,"que",0.0833333333333333,24
"178",0,178,"eran",0,18
"179",0,179,"mexicanos",0.0588235294117647,17
"180",0,180,"lo",0,22
"181",0,181,"sabia",0.2,20
"182",0,182,"ya",0.117647058823529,17
"183",0,183,"por",0.285714285714286,14
"184",0,184,"ellos",0.166666666666667,6
"185",0,185,"mismos",0.5,10
"186",0,186,"por",0,14
"187",0,187,"sus",0.0666666666666667,15
"188",0,188,"pequenos",0,17
"189",0,189,"rostros",0.133333333333333,15
"190",0,190,"rosados",0.0833333333333333,12
"191",0,191,"aztecas",0.142857142857143,14
"192",0,192,"y",0.4375,16
"193",0,193,"el",0.0625,16
"194",0,194,"cartel",0,14
"195",0,195,"en",0.0666666666666667,15
"196",0,196,"lo",0,11
"197",0,197,"alto",0.526315789473684,19
"198",0,198,"del",0.2,15
"199",0,199,"acuario",0.555555555555556,18
"200",0,200,"lei",0,12
"201",0,201,"que",0.545454545454545,11
"202",0,202,"se",0,14
"203",0,203,"han",0.0416666666666667,24
"204",0,204,"encontrado",0,20
"205",0,205,"ejemplares",0.0526315789473684,19
"206",0,206,"en",0.533333333333333,15
"207",0,207,"africa",0.166666666666667,18
"208",0,208,"capaces",0,15
"209",0,209,"de",0.875,24
"210",0,210,"vivir",0.0833333333333333,12
"211",0,211,"en",0.25,16
"212",0,212,"tierra",0.133333333333333,15
"213",0,213,"durante",0.125,16
"214",0,214,"los",0,16
"215",0,215,"periodos",0.0714285714285714,14
"216",0,216,"de",0.166666666666667,6
"217",0,217,"sequia",0.1,10
"218",0,218,"y",0.571428571428571,14
"219",0,219,"que",0.0666666666666667,15
"220",0,220,"continuan",0.0588235294117647,17
"221",0,221,"su",0.0555555555555556,18
"222",0,222,"vida",0.588235294117647,17
"223",0,223,"en",0.409090909090909,22
"224",0,224,"el",0.1875,16
"225",0,225,"agua",0.65,20
"226",0,226,"al",0,14
"227",0,227,"llegar",0.2,15
"228",0,228,"la",0.0909090909090909,11
"229",0,229,"estacion",0,19
"230",0,230,"de",0.0666666666666667,15
"231",0,231,"las",0,12
"232",0,232,"lluvias",0.636363636363636,11
"233",0,233,"encontre",0,14
"234",0,234,"su",0.0833333333333333,12
"235",0,235,"nombre",0.1875,16
"236",0,236,"espanol",0,15
"237",0,237,"ajolote",0.125,16
"238",0,238,"la",0,16
